Status,Status (Successful),Category,Qty,Amount,ship-postal-code
Delivered,True,Kurta,1,406.0,560085
Delivered,True,Kurta,1,399.0,500032
Delivered,True,Kurta,1,399.0,444606
Delivered,True,Set,1,771.0,400053
Delivered,True,Kurta,1,544.0,515801
Delivered,True,Kurta,1,458.0,122004
Delivered,True,Set,1,582.0,834002
Delivered,True,Kurta,1,299.0,495001
Delivered,True,Set,1,1233.0,530016
Delivered,True,Kurta,1,517.0,764001
Delivered,True,Kurta,1,499.0,226016
Delivered,True,Kurta,1,424.0,400092
Delivered,True,Kurta,1,399.0,271881
Delivered,True,Set,1,599.0,560023
Delivered,True,Kurta,1,696.0,600041
Delivered,True,Set,1,631.0,560001
Delivered,True,Kurta,1,362.0,760002
Delivered,True,Bottom,1,377.0,700078
Delivered,True,Western Dress,1,859.0,303905
Delivered,True,Kurta,1,725.0,600028
Delivered,True,Set,1,1338.0,421502
Delivered,True,Western Dress,1,472.0,474005
Delivered,True,Set,1,832.0,124001
Delivered,True,Kurta,1,399.0,124001
Delivered,True,Top,1,518.0,400076
Delivered,True,Set,1,597.0,781014
Delivered,True,Set,1,549.0,781014
Delivered,True,Kurta,1,579.0,560055
Delivered,True,Set,1,788.0,497449
Delivered,True,Set,1,1399.0,225001
Delivered,True,Set,1,999.0,275301
Delivered,True,Kurta,1,376.0,620018
Delivered,True,Kurta,1,353.0,683513
Delivered,True,Kurta,1,399.0,272001
Delivered,True,Kurta,1,399.0,123027
Delivered,True,Kurta,1,399.0,560022
Delivered,True,Top,1,387.0,401202
Delivered,True,Set,1,583.0,700059
Delivered,True,Western Dress,1,744.0,600117
Delivered,True,Kurta,1,497.0,110074
Delivered,True,Kurta,1,0.0,752054
Delivered,True,Top,1,399.0,412207
Delivered,True,Western Dress,1,725.0,823001
Delivered,True,Set,1,999.0,560102
Delivered,True,Kurta,1,295.0,560100
Delivered,True,Set,1,499.0,411037
Delivered,True,Western Dress,1,791.0,248009
Delivered,True,Kurta,1,533.0,500010
Delivered,True,Set,1,563.0,440036
Delivered,True,Kurta,1,458.0,742103
Delivered,True,Set,1,1099.0,400101
Delivered,True,Kurta,1,459.0,226010
Delivered,True,Top,1,339.0,500001
Delivered,True,Set,1,888.0,700145
Delivered,True,Kurta,1,487.0,754211
Delivered,True,Kurta,1,487.0,560010
Delivered,True,Set,1,1233.0,500089
Delivered,True,Western Dress,1,825.0,560068
Delivered,True,Kurta,1,471.0,134107
Delivered,True,Kurta,1,342.0,456010
Delivered,True,Western Dress,1,725.0,500073
Delivered,True,Set,1,759.0,793008
Delivered,True,Western Dress,1,744.0,122018
Delivered,True,Kurta,1,459.0,211004
Delivered,True,Kurta,1,471.0,695003
Delivered,True,Kurta,1,544.0,560072
Delivered,True,Western Dress,1,885.0,785667
Delivered,True,Kurta,1,505.0,689695
Delivered,True,Kurta,1,666.0,411047
Delivered,True,Kurta,1,399.0,509001
Delivered,True,Kurta,1,432.0,248198
Delivered,True,Western Dress,1,0.0,141001
Delivered,True,Western Dress,1,725.0,500094
Delivered,True,Kurta,1,353.0,793022
Delivered,True,Kurta,1,568.0,562159
Delivered,True,Kurta,1,399.0,507003
Delivered,True,Set,1,0.0,431002
Delivered,True,Set,1,631.0,411014
Delivered,True,Kurta,1,399.0,201301
Delivered,True,Top,1,329.0,141012
Delivered,True,Kurta,1,549.0,560078
Delivered,True,Set,1,599.0,500067
Delivered,True,Kurta,1,533.0,500075
Delivered,True,Kurta,1,362.0,400095
Delivered,True,Set,1,563.0,421004
Delivered,True,Set,1,549.0,263601
Delivered,True,Kurta,1,319.0,600089
Delivered,True,Top,1,463.0,506001
Delivered,True,Kurta,1,471.0,560021
Delivered,True,Top,1,625.0,411001
Delivered,True,Top,1,518.0,110075
Delivered,True,Kurta,1,364.0,400615
Delivered,True,Western Dress,1,825.0,380054
Delivered,True,Kurta,1,568.0,124103
Delivered,True,Set,1,1099.0,180007
Delivered,True,Set,1,696.0,401201
Delivered,True,Kurta,1,499.0,627401
Delivered,True,Kurta,1,487.0,600002
Delivered,True,Kurta,1,363.0,600002
Delivered,True,Kurta,1,562.0,560078
Delivered,True,Kurta,1,1249.0,452010
Delivered,True,Set,1,759.0,110092
Delivered,True,Set,1,888.0,201301
Delivered,True,Kurta,1,487.0,502319
Delivered,True,Set,1,597.0,502319
Delivered,True,Kurta,1,363.0,560033
