ship-state,Lat,Lng,Status,count
MAHARASHTRA,19.5,75.0,Cancelled,3217
MAHARASHTRA,19.5,75.0,Delivered,5013
KARNATAKA,13.5,76.0,Cancelled,2443
KARNATAKA,13.5,76.0,Delivered,3700
PUDUCHERRY,11.9333,79.8167,Cancelled,55
PUDUCHERRY,11.9333,79.8167,Delivered,71
HYDERABAD,17.3753,78.4744,Cancelled,1793
HYDERABAD,17.3753,78.4744,Delivered,2470
ANDHRA PRADESH,16.0,79.0,Cancelled,985
ANDHRA PRADESH,16.0,79.0,Delivered,1232
HARYANA,29.0,76.0,Cancelled,619
HARYANA,29.0,76.0,Delivered,994
JHARKHAND,23.75,85.5,Cancelled,276
JHARKHAND,23.75,85.5,Delivered,339
CHHATTISGARH,21.5,82.0,Cancelled,142
CHHATTISGARH,21.5,82.0,Delivered,243
ASSAM,26.0,93.0,Cancelled,315
ASSAM,26.0,93.0,Delivered,388
ODISHA,20.5,84.4167,Cancelled,400
ODISHA,20.5,84.4167,Delivered,457
UTTAR PRADESH,27.25,80.75,Cancelled,1837
UTTAR PRADESH,27.25,80.75,Delivered,2473
GUJARAT,23.0,72.0,Cancelled,636
GUJARAT,23.0,72.0,Delivered,1125
TAMIL NADU,11.0,78.0,Cancelled,1744
TAMIL NADU,11.0,78.0,Delivered,2481
UTTARAKHAND,30.25,79.25,Cancelled,272
UTTARAKHAND,30.25,79.25,Delivered,394
WEST BENGAL,24.0,88.0,Cancelled,1006
WEST BENGAL,24.0,88.0,Delivered,1245
RAJASTHAN,26.0,74.0,Cancelled,430
RAJASTHAN,26.0,74.0,Delivered,706
DELHI,28.6667,77.2167,Cancelled,1012
DELHI,28.6667,77.2167,Delivered,1602
MADHYA PRADESH,23.5,78.5,Cancelled,420
MADHYA PRADESH,23.5,78.5,Delivered,641
KERALA,10.0,76.5,Cancelled,1256
KERALA,10.0,76.5,Delivered,1751
JAMMU & KASHMIR,32.7333,74.8667,Cancelled,138
JAMMU & KASHMIR,32.7333,74.8667,Delivered,170
BIHAR,47.15,21.9167,Cancelled,405
BIHAR,47.15,21.9167,Delivered,487
MEGHALAYA,25.5,91.3333,Cancelled,37
MEGHALAYA,25.5,91.3333,Delivered,53
PUNJAB,30.8602,72.3198,Cancelled,279
PUNJAB,30.8602,72.3198,Delivered,477
GOA,15.3333,74.0833,Cancelled,139
GOA,15.3333,74.0833,Delivered,280
DADRA,20.3228,72.9652,Cancelled,13
DADRA,20.3228,72.9652,Delivered,16
HIMACHAL PRADESH,31.0,78.0,Cancelled,161
HIMACHAL PRADESH,31.0,78.0,Delivered,209
TRIPURA,24.0,92.0,Cancelled,26
TRIPURA,24.0,92.0,Delivered,35
CHANDIGARH,30.7343,76.7933,Cancelled,44
CHANDIGARH,30.7343,76.7933,Delivered,89
SIKKIM,27.75,88.5,Cancelled,37
SIKKIM,27.75,88.5,Delivered,45
ANDAMAN,-3.198,114.4621,Cancelled,56
ANDAMAN,-3.198,114.4621,Delivered,58
MANIPUR,25.0,94.0,Cancelled,39
MANIPUR,25.0,94.0,Delivered,92
MIZORAM,23.0,93.0,Cancelled,18
MIZORAM,23.0,93.0,Delivered,15
NAGALAND,26.0,94.25,Cancelled,32
NAGALAND,26.0,94.25,Delivered,45
NEW DELHI,28.6128,77.2311,Cancelled,13
NEW DELHI,28.6128,77.2311,Delivered,15
ARUNACHAL PRADESH,28.0,94.5,Cancelled,24
ARUNACHAL PRADESH,28.0,94.5,Delivered,46
LEH,34.1667,77.5833,Cancelled,8
LEH,34.1667,77.5833,Delivered,6
KAVARATTI,10.5669,72.642,Cancelled,1
KAVARATTI,10.5669,72.642,Delivered,2
APO,19.4269,-102.4107,Cancelled,1
